1227,261
1204,15
1114,249
1119,14
1345,262
1475,185
1226,211
1024,15
1266,253
1360,122
1087,67
1373,62
1306,216
1473,34
1429,259
1209,59
1073,198
1185,51
1196,196
1473,141
1292,149
1315,1
1423,226
1456,43
1294,173
1231,79
1036,255
1195,97
1115,58
1181,101
1227,257
1204,221
1114,43
1119,242
1345,142
1475,239
1226,48
1024,217
1266,169
1360,142
1087,167
1373,12
1306,277
1473,134
1429,56
1209,156
1073,22
1185,103
1196,193
1473,53
1292,35
1315,291
1423,8
1456,201
1294,229
1231,277
1036,129
1195,215
1115,16
1181,81
1227,29
1204,184
1114,154
1119,16
1345,183
1475,12
1226,15
1024,69
1266,125
1360,27
1087,245
1373,8
1306,176
1473,288
1429,49
1209,194
1073,193
1185,181
1196,24
1473,95
1292,214
1315,122
1423,225
1456,11
1294,211
1231,23
1036,125
1195,128
1115,289
1181,291
1227,113
1204,71
1114,185
1119,145
1345,145
1475,82
1226,153
1024,184
1266,194
1360,292
1087,8
1373,137
1306,145
1473,88
1429,205
1209,283
1073,204
1185,154
1196,292
1473,9
1292,6
1315,37
1423,164
1456,6
1294,222
1231,55
1036,71
1195,28
1115,279
1181,78
1227,19
1204,205
1114,22
1119,141
1345,152
1475,216
1226,206
1024,222
1266,57
1360,13
1087,23
1373,3
1306,231
1473,148
1429,133
1209,285
1073,28
1185,172
1196,27
1473,244
1292,53
1315,267
1423,276
1456,11
1294,256
1231,128
1036,15
1195,143
1115,117
1181,107
1227,128
1204,263
1114,287
1119,75
1345,107
1475,154
1226,127
1024,189
1266,17
1360,189
1087,45
1373,268
1306,75
1473,14
1429,143
1209,267
1073,15
1185,46
1196,244
1473,239
1292,177
1315,297
1423,52
1456,214
1294,65
1231,124
1036,257
1195,271
1115,265
1181,117
1227,16
1204,226
1114,202
1119,126
1345,184
1475,6
1226,198
1024,298
1266,7
1360,78
1087,143
1373,221
1306,295
1473,235
1429,135
1209,269
1073,178
1185,263
1196,236
1473,186
1292,247
1315,6
1423,289
1456,126
1294,22
1231,154
1036,84
1195,147
1115,21
1181,214
1227,268
1204,243
1114,196
1119,117
1345,263
1475,14
1226,102
1024,209
1266,225
1360,283
1087,132
1373,111
1306,106
1473,225
1429,264
1209,24
1073,299
1185,209
1196,239
1473,103
1292,144
1315,73
1423,172
1456,56
1294,56
1231,133
1036,195
1195,137
1115,3
1181,8
1227,158
1204,286
1114,49
1119,9
1345,199
1475,285
1226,219
1024,217
1266,242
1360,16
1087,164
1373,58
1306,79
1473,217
1429,107
1209,236
1073,111
1185,191
1196,252
1473,158
1292,172
1315,27
1423,21
1456,192
1294,31
1231,227
1036,46
1195,244
1115,15
1181,14
1227,9
1204,96
1114,76
1119,12
1345,286
1475,113
1226,134
1024,215
1266,83
1360,5
1087,4
1373,268
1306,297
1473,176
1429,247
1209,26
1073,144
1185,92
1196,294
1473,282
1292,21
1315,132
1423,7
1456,59
1294,198
1231,219
1036,237
1195,83
1115,272
1181,153
1227,229
1204,144
1114,241
1119,133
1345,273
1475,258
1226,3
1024,207
1266,295
